Date,Baseline,BBP & OBV & RSI & WPR,BBP & OBV & AU & WPR,BBP & OBV & AD & WPR,BBP & OBV & S & WPR,BBP & RSI & AU & WPR,BBP & RSI & AD & WPR,BBP & RSI & S & WPR,BBP & AU & AD & WPR,BBP & AU & S & WPR,BBP & AD & S & WPR,OBV & RSI & AU & WPR,OBV & RSI & AD & WPR,OBV & RSI & S & WPR,OBV & AU & AD & WPR,OBV & AU & S & WPR,OBV & AD & S & WPR,RSI & AU & AD & WPR,RSI & AU & S & WPR,RSI & AD & S & WPR,AU & AD & S & WPR
2020-05-01,-42700.0,5460.0,-42700.0,-42700.0,-42700.0,-22250.0,-42700.0,-42700.0,-36550.0,-42700.0,-42700.0,-42700.0,-42700.0,-42700.0,-42700.0,-42700.0,-42700.0,42700.0,24080.0,-42700.0,-42700.0
2020-05-04,-45020.0,3140.0,-45020.0,-45020.0,-45020.0,-19930.0,-45020.0,-45020.0,-38870.0,-45020.0,-45020.0,-45020.0,-45020.0,-45020.0,-45020.0,-45020.0,-45020.0,45020.0,24080.0,-45020.0,-45020.0
2020-05-05,-47140.0,5260.0,-47140.0,-47140.0,-47140.0,-17810.0,-47140.0,-47140.0,-40990.0,-47140.0,-47140.0,-47140.0,-47140.0,-47140.0,-47140.0,-47140.0,-47140.0,47140.0,26200.0,-47140.0,-47140.0
2020-05-06,-47320.0,5080.0,-47320.0,-47320.0,-47320.0,-17990.0,-47320.0,-47320.0,-41170.0,-47320.0,-47320.0,-47320.0,-47320.0,-47320.0,-47320.0,-47320.0,-47320.0,47320.0,26200.0,-47320.0,-47320.0
2020-05-07,-42630.0,390.0,-42630.0,-42630.0,-42630.0,-13300.0,-42630.0,-42630.0,-36480.0,-42630.0,-42630.0,-42630.0,-42630.0,-42630.0,-42630.0,-42630.0,-42630.0,42630.0,21510.0,-42630.0,-42630.0
2020-05-08,-39040.0,3980.0,-39040.0,-39040.0,-39040.0,-16890.0,-39040.0,-39040.0,-32890.0,-39040.0,-39040.0,-39040.0,-39040.0,-39040.0,-39040.0,-39040.0,-39040.0,39040.0,21510.0,-39040.0,-39040.0
2020-05-11,-40430.0,5370.0,-40430.0,-40430.0,-40430.0,-16890.0,-40430.0,-40430.0,-34280.0,-40430.0,-40430.0,-40430.0,-40430.0,-40430.0,-40430.0,-40430.0,-40430.0,40430.0,22900.0,-40430.0,-40430.0
2020-05-12,-43640.0,2160.0,-43640.0,-43640.0,-43640.0,-16890.0,-43640.0,-43640.0,-37490.0,-43640.0,-43640.0,-43640.0,-43640.0,-43640.0,-43640.0,-43640.0,-43640.0,43640.0,22900.0,-43640.0,-43640.0
2020-05-13,-45280.0,3800.0,-45280.0,-45280.0,-45280.0,-15250.0,-45280.0,-45280.0,-39130.0,-45280.0,-45280.0,-45280.0,-45280.0,-45280.0,-45280.0,-45280.0,-45280.0,45280.0,24540.0,-45280.0,-45280.0
2020-05-14,-42290.0,6790.0,-42290.0,-42290.0,-42290.0,-18240.0,-42290.0,-42290.0,-36140.0,-42290.0,-42290.0,-42290.0,-42290.0,-42290.0,-42290.0,-42290.0,-42290.0,42290.0,24540.0,-42290.0,-42290.0
2020-05-15,-39150.0,3650.0,-39150.0,-39150.0,-39150.0,-21380.0,-39150.0,-39150.0,-33000.0,-39150.0,-39150.0,-39150.0,-39150.0,-39150.0,-39150.0,-39150.0,-39150.0,39150.0,21400.0,-39150.0,-39150.0
